ci1,ci2,ci3,ci4,ci5,ci6,ci7,ci8,ci9,ci10,city
0.00E+00,0.00E+00,1.00E-06,-1.00E-06,-7.00E-06,5.00E-06,1.20E-05,4.57E-01,1.49E+00,1.24E+00,victoria
0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-4.00E-06,-1.00E-06,3.00E-06,2.15E-01,1.22E+00,1.92E-01,vancouver
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-2.00E-06,9.00E-06,1.00E-06,-2.51E-02,3.97E-01,1.26E+00,mumbai
0.00E+00,-2.00E-06,1.00E-06,0.00E+00,0.00E+00,8.00E-06,2.00E-06,-6.89E-02,-3.15E-01,1.06E+00,delhi
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,0.00E+00,8.00E-06,-3.00E-06,-2.05E-01,-2.36E-01,9.50E-01,pune
0.00E+00,1.00E-06,-1.00E-06,-1.00E-06,-2.00E-06,1.00E-06,-1.10E-05,-3.01E-01,9.60E-01,1.79E-01,ottawa
0.00E+00,1.00E-06,0.00E+00,-1.00E-06,-5.00E-06,0.00E+00,7.00E-06,3.24E-01,1.28E+00,4.72E-01,toronto
