pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,post
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-1.00E-06,6.00E-06,1.20E-05,3.20E-01,-3.10E-01,9.66E-01,engineer
0.00E+00,-1.00E-06,1.00E-06,0.00E+00,-4.00E-06,5.00E-06,1.50E-05,4.78E-01,4.31E-01,1.07E+00,developer
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,-1.00E-06,1.10E-05,-4.00E-06,-2.52E-01,3.28E-03,1.39E+00,manager
0.00E+00,-1.00E-06,0.00E+00,0.00E+00,2.00E-06,6.00E-06,-9.00E-06,-4.24E-01,-6.58E-01,4.85E-01,coo
0.00E+00,0.00E+00,-2.00E-06,0.00E+00,-1.00E-06,6.00E-06,-2.20E-05,-7.36E-01,6.25E-01,4.28E-01,cto
0.00E+00,-2.00E-06,2.00E-06,0.00E+00,-3.00E-06,5.00E-06,2.40E-05,7.33E-01,-1.69E-01,1.06E+00,ceo
0.00E+00,-2.00E-06,2.00E-06,0.00E+00,-1.00E-06,8.00E-06,1.20E-05,2.80E-01,-4.40E-01,1.17E+00,waiter
